/ d 755 4096 0 0 5 24 6 46
bin d 755 4096 0 0 6 1 1 22 /
os d 755 4096 1000 1000 6 1 1 25 /
.cache d 700 4096 1000 1000 6 1 1 28 /
.config d 700 4096 1000 1000 6 1 1 28 /
.gnupg d 700 4096 1000 1000 6 1 1 29 /
.local d 700 4096 1000 1000 6 1 1 29 /
test d 755 4096 0 0 5 30 20 43 /
ddd f 777 2 0 0 6 1 20 4 /
abc d 700 4096 0 0 12 14 2 14 /
home d 755 4096 1000 1000 5 30 20 32 /
test d 755 4096 0 0 5 30 20 33 /
hello.txt f 644 20 1000 1000 6 1 1 40 /home/os/문서
hello f 666 16 1000 1000 6 10 3 3 /home/os/문서
